item,data,technical_specs,file_path
Coffee Machine,WI_desc_01.txt,WI_tech_desc_01.txt,default_1.jpg
Touch Table,WI_desc_02.txt,WI_tech_desc_02.txt,default_1.jpg
Digital Boardroom,WI_desc_03.txt,WI_tech_desc_03.txt,default_1.jpg
Alexa,WI_desc_04.txt,WI_tech_desc_04.txt,default_1.jpg
NetAtmo,WI_desc_05.txt,WI_tech_desc_05.txt,default_1.jpg
DJI Mavic Pro Drohne,WI_desc_06.txt,WI_tech_desc_06.txt,default_1.jpg
Microsoft Hololens,WI_desc_07.txt,WI_tech_desc_07.txt,default_1.jpg
